dataset,seed,model,threshold,RecallH,PrecH,F1H,MacroF1,Kappa,Brier,ECE,PRAUC_High,FP_High,FN_High
MultiCloud,13,KATS,0.5,0.4925373134328358,0.3402061855670103,0.4024390243902439,0.3351486639178823,0.02384081096301871,0.2199239524152532,0.042258738182372,0.41396490474694814,64,34
MultiCloud,13,LightGBM,0.5,0.3283582089552239,0.3142857142857143,0.32116788321167883,0.3048352809872841,-0.0425260631515787,0.27430712988269074,0.19642876933839992,0.32875682880498336,48,45
MultiCloud,13,XGBoost,0.5,0.29850746268656714,0.3125,0.3053435114503817,0.28896635566864576,-0.06530627555422175,0.27937862480509906,0.19997492150714,0.2944192404816164,44,47
MultiCloud,13,RandomForest,0.5,0.34328358208955223,0.35384615384615387,0.3484848484848485,0.32511684004221325,-0.012449377531123629,0.23338466666666666,0.09878333333333333,0.3633985425552108,42,44
MultiCloud,13,BalancedRF,0.5,0.34328358208955223,0.3150684931506849,0.32857142857142857,0.27971467037753567,-0.07978404319136168,0.23147708333333336,0.10065000000000003,0.3734115216116201,50,44
MultiCloud,13,MLP,0.5,0.6268656716417911,0.3559322033898305,0.4540540540540541,0.3559780964765389,0.06163200960888826,0.21931741831205445,0.018087937736239203,0.3962507037270792,76,25
MultiCloud,13,LogReg,0.5,0.5522388059701493,0.3627450980392157,0.4378698224852071,0.33438635956118473,0.024170544963218688,0.21811482799691218,0.03164846786436442,0.4058598872862046,65,30
MultiCloud,13,NaiveBayes,0.5,0.6567164179104478,0.3333333333333333,0.44221105527638194,0.28834786764319653,-0.0055153266048848515,0.21898734123922223,0.02473816861575509,0.33605653384132195,88,23
MultiCloud,99,KATS,0.5,0.5303030303030303,0.3723404255319149,0.4375,0.37979699666295885,0.07844459429085182,0.21724607618064984,0.03574481638342885,0.4028215168519953,59,31
MultiCloud,99,LightGBM,0.5,0.3939393939393939,0.3466666666666667,0.36879432624113473,0.33328588254234565,0.002811621368322359,0.27014423488713496,0.1797842849720425,0.37135667817321294,49,40
MultiCloud,99,XGBoost,0.5,0.3787878787878788,0.36231884057971014,0.37037037037037035,0.34777832911349454,0.025085305035809413,0.2732360296002763,0.1820032880579432,0.3363923541906264,44,41
MultiCloud,99,RandomForest,0.5,0.36363636363636365,0.32,0.3404255319148936,0.3031110316467012,-0.04217432052483594,0.23512833333333336,0.09003333333333335,0.32085424305405874,51,42
MultiCloud,99,BalancedRF,0.5,0.2878787878787879,0.3064516129032258,0.296875,0.2807437320820036,-0.08018903308078906,0.23760000000000003,0.09750000000000002,0.32013222625381643,43,47
MultiCloud,99,MLP,0.5,0.12121212121212122,0.20512820512820512,0.1523809523809524,0.26216077828981055,-0.08862945305754732,0.22305821518428445,0.008248581700681015,0.2993897216093544,31,58
MultiCloud,99,LogReg,0.5,0.5606060606060606,0.3894736842105263,0.45962732919254656,0.38755565686630195,0.0934631953549353,0.21804010313170072,0.03474170485286765,0.4091308760967081,58,29
MultiCloud,99,NaiveBayes,0.5,0.5606060606060606,0.33636363636363636,0.42045454545454547,0.3591086815881848,0.06402096593036322,0.22165850438786303,0.02262095992646675,0.3516454641777182,73,29
MultiCloud,2026,KATS,0.5,0.4090909090909091,0.35526315789473684,0.38028169014084506,0.37483748645720477,0.06282801019643125,0.22116874600893255,0.04693906487164833,0.3684439420147365,49,39
MultiCloud,2026,LightGBM,0.5,0.3484848484848485,0.35384615384615387,0.3511450381679389,0.3349460314459251,0.0024376523532719796,0.27167517339001485,0.1928533133685141,0.3609131739099981,42,43
MultiCloud,2026,XGBoost,0.5,0.3181818181818182,0.3230769230769231,0.32061068702290074,0.32990348123796603,-0.005062816426026684,0.2688249094714559,0.1833292745177945,0.3145891837973633,44,45
MultiCloud,2026,RandomForest,0.5,0.3787878787878788,0.32051282051282054,0.3472222222222222,0.3292547491641064,-0.0045730564510082505,0.2318376666666667,0.08514999999999999,0.35642760680216073,53,41
MultiCloud,2026,BalancedRF,0.5,0.3484848484848485,0.3108108108108108,0.32857142857142857,0.3511488986186064,0.025268051285896376,0.23100616666666665,0.08253333333333332,0.3491693291485771,51,43
MultiCloud,2026,MLP,0.5,0.4393939393939394,0.37662337662337664,0.40559440559440557,0.37897732840408,0.09285152003598596,0.22104269364333515,0.022734500600541316,0.38531026677696634,48,37
MultiCloud,2026,LogReg,0.5,0.45454545454545453,0.3448275862068966,0.39215686274509803,0.34415231390441586,0.025742871060816186,0.22065924838245995,0.031347273199329916,0.3540114991398552,57,36
MultiCloud,2026,NaiveBayes,0.5,0.5454545454545454,0.375,0.4444444444444444,0.3595233603722568,0.056038357806412864,0.22181932059069628,0.02667839311056483,0.37438684274176154,60,30
CICIDS2017,42,KATS,0.8500000000000002,0.9335912314635719,0.28045709858609336,0.4313375037235627,0.5557685933790898,0.30456119427374373,0.13629605439538756,0.22793707720523562,0.87150037915059,3715,103
CICIDS2017,42,LightGBM,0.5,0.9954867827208252,0.9922879177377892,0.9938847763115546,0.9944058545975755,0.992560750059514,0.0011321389760701732,0.0010376646187329865,0.9998477251467076,12,7
CICIDS2017,42,XGBoost,0.5,0.9941972920696325,0.9961240310077519,0.995159728944821,0.9952679796357051,0.9939830705093166,0.0008586053081334248,0.0005481421088708091,0.999840433726632,6,9
CICIDS2017,42,RandomForest,0.5,0.9864603481624759,0.9947984395318595,0.9906118484946584,0.9931350290316647,0.989652719890361,0.0015689136140125551,0.001257854903075798,0.9995086259079262,8,21
CICIDS2017,42,BalancedRF,0.5,0.9896840747904577,0.9884095299420477,0.9890463917525774,0.9932768724158524,0.9888343977277713,0.00287894140625,0.009867708333333365,0.9988874303841507,18,16
CICIDS2017,42,MLP,0.5,0.9406834300451322,0.9858108108108108,0.9627185747278126,0.9358416117004184,0.9270700198633701,0.010644457129300976,0.004827495482787291,0.9937116840120772,21,92
CICIDS2017,42,LogReg,0.5,0.9638942617666022,0.7204819277108434,0.8246001103143961,0.8505244555573249,0.7786506221955394,0.03345527962817716,0.04713500849590927,0.9659389112834347,580,56
CICIDS2017,42,NaiveBayes,0.5,0.0,0.0,0.0,0.3026000424744395,0.0,0.06759792480890238,0.024189872050069044,0.6145448583085897,0,1551
CICIDS2017,7,KATS,0.8500000000000002,0.9348807221147647,0.2717900656044986,0.4211443508568109,0.5369538411093663,0.2866691510808509,0.1425113982154146,0.24560845348995639,0.8908630061475069,3885,101
