dataset,seed,model,true_class,predicted_class,count
GoogleCluster,2026,RandomForest,Low,High,2
GoogleCluster,2026,RandomForest,Low,Low,2497
GoogleCluster,2026,RandomForest,Low,Medium,0
GoogleCluster,2026,RandomForest,Medium,High,3
GoogleCluster,2026,RandomForest,Medium,Low,0
GoogleCluster,2026,RandomForest,Medium,Medium,4878
GoogleCluster,2026,BalancedRF,High,High,4616
GoogleCluster,2026,BalancedRF,High,Low,2
GoogleCluster,2026,BalancedRF,High,Medium,2
GoogleCluster,2026,BalancedRF,Low,High,2
GoogleCluster,2026,BalancedRF,Low,Low,2497
GoogleCluster,2026,BalancedRF,Low,Medium,0
GoogleCluster,2026,BalancedRF,Medium,High,3
GoogleCluster,2026,BalancedRF,Medium,Low,0
GoogleCluster,2026,BalancedRF,Medium,Medium,4878
GoogleCluster,2026,MLP,High,High,4589
GoogleCluster,2026,MLP,High,Low,16
GoogleCluster,2026,MLP,High,Medium,15
GoogleCluster,2026,MLP,Low,High,5
GoogleCluster,2026,MLP,Low,Low,2491
GoogleCluster,2026,MLP,Low,Medium,3
GoogleCluster,2026,MLP,Medium,High,13
GoogleCluster,2026,MLP,Medium,Low,4
GoogleCluster,2026,MLP,Medium,Medium,4864
GoogleCluster,2026,LogReg,High,High,4228
GoogleCluster,2026,LogReg,High,Low,381
GoogleCluster,2026,LogReg,High,Medium,11
GoogleCluster,2026,LogReg,Low,High,157
GoogleCluster,2026,LogReg,Low,Low,2331
GoogleCluster,2026,LogReg,Low,Medium,11
GoogleCluster,2026,LogReg,Medium,High,298
GoogleCluster,2026,LogReg,Medium,Low,114
GoogleCluster,2026,LogReg,Medium,Medium,4469
GoogleCluster,2026,NaiveBayes,High,High,3869
GoogleCluster,2026,NaiveBayes,High,Low,634
GoogleCluster,2026,NaiveBayes,High,Medium,117
GoogleCluster,2026,NaiveBayes,Low,High,251
GoogleCluster,2026,NaiveBayes,Low,Low,2214
GoogleCluster,2026,NaiveBayes,Low,Medium,34
GoogleCluster,2026,NaiveBayes,Medium,High,130
GoogleCluster,2026,NaiveBayes,Medium,Low,391
GoogleCluster,2026,NaiveBayes,Medium,Medium,4360
ITIncident,42,KATS,High,High,128
ITIncident,42,KATS,High,Low,4
ITIncident,42,KATS,High,Medium,4
ITIncident,42,KATS,Low,High,69
ITIncident,42,KATS,Low,Low,58
ITIncident,42,KATS,Low,Medium,28
ITIncident,42,KATS,Medium,High,2686
ITIncident,42,KATS,Medium,Low,579
ITIncident,42,KATS,Medium,Medium,1428
ITIncident,42,LightGBM,High,High,98
ITIncident,42,LightGBM,High,Low,6
ITIncident,42,LightGBM,High,Medium,32
ITIncident,42,LightGBM,Low,High,26
ITIncident,42,LightGBM,Low,Low,79
ITIncident,42,LightGBM,Low,Medium,50
ITIncident,42,LightGBM,Medium,High,996
ITIncident,42,LightGBM,Medium,Low,725
ITIncident,42,LightGBM,Medium,Medium,2972
ITIncident,42,XGBoost,High,High,16
ITIncident,42,XGBoost,High,Low,0
ITIncident,42,XGBoost,High,Medium,120
ITIncident,42,XGBoost,Low,High,0
ITIncident,42,XGBoost,Low,Low,23
ITIncident,42,XGBoost,Low,Medium,132
ITIncident,42,XGBoost,Medium,High,3
ITIncident,42,XGBoost,Medium,Low,3
ITIncident,42,XGBoost,Medium,Medium,4687
ITIncident,42,RandomForest,High,High,25
ITIncident,42,RandomForest,High,Low,0
ITIncident,42,RandomForest,High,Medium,111
ITIncident,42,RandomForest,Low,High,2
ITIncident,42,RandomForest,Low,Low,45
ITIncident,42,RandomForest,Low,Medium,108
ITIncident,42,RandomForest,Medium,High,28
ITIncident,42,RandomForest,Medium,Low,289
ITIncident,42,RandomForest,Medium,Medium,4376
ITIncident,42,BalancedRF,High,High,84
ITIncident,42,BalancedRF,High,Low,16
ITIncident,42,BalancedRF,High,Medium,36
ITIncident,42,BalancedRF,Low,High,14
ITIncident,42,BalancedRF,Low,Low,85
ITIncident,42,BalancedRF,Low,Medium,56
ITIncident,42,BalancedRF,Medium,High,688
ITIncident,42,BalancedRF,Medium,Low,805
ITIncident,42,BalancedRF,Medium,Medium,3200
ITIncident,42,MLP,High,High,0
ITIncident,42,MLP,High,Low,0
ITIncident,42,MLP,High,Medium,136
ITIncident,42,MLP,Low,High,0
ITIncident,42,MLP,Low,Low,0
ITIncident,42,MLP,Low,Medium,155
ITIncident,42,MLP,Medium,High,0
ITIncident,42,MLP,Medium,Low,0
ITIncident,42,MLP,Medium,Medium,4693
ITIncident,42,LogReg,High,High,56
ITIncident,42,LogReg,High,Low,38
ITIncident,42,LogReg,High,Medium,42
ITIncident,42,LogReg,Low,High,25
ITIncident,42,LogReg,Low,Low,91
ITIncident,42,LogReg,Low,Medium,39
ITIncident,42,LogReg,Medium,High,1263
ITIncident,42,LogReg,Medium,Low,1672
ITIncident,42,LogReg,Medium,Medium,1758
ITIncident,42,NaiveBayes,High,High,0
ITIncident,42,NaiveBayes,High,Low,0
ITIncident,42,NaiveBayes,High,Medium,136
ITIncident,42,NaiveBayes,Low,High,0
ITIncident,42,NaiveBayes,Low,Low,0
ITIncident,42,NaiveBayes,Low,Medium,155
ITIncident,42,NaiveBayes,Medium,High,0
ITIncident,42,NaiveBayes,Medium,Low,0
ITIncident,42,NaiveBayes,Medium,Medium,4693
ITIncident,7,KATS,High,High,123
ITIncident,7,KATS,High,Low,6
ITIncident,7,KATS,High,Medium,7
ITIncident,7,KATS,Low,High,61
ITIncident,7,KATS,Low,Low,60
ITIncident,7,KATS,Low,Medium,34
ITIncident,7,KATS,Medium,High,2672
ITIncident,7,KATS,Medium,Low,637
ITIncident,7,KATS,Medium,Medium,1384
ITIncident,7,LightGBM,High,High,96
ITIncident,7,LightGBM,High,Low,11
ITIncident,7,LightGBM,High,Medium,29
ITIncident,7,LightGBM,Low,High,26
ITIncident,7,LightGBM,Low,Low,70
ITIncident,7,LightGBM,Low,Medium,59
ITIncident,7,LightGBM,Medium,High,866
ITIncident,7,LightGBM,Medium,Low,707
ITIncident,7,LightGBM,Medium,Medium,3120
ITIncident,7,XGBoost,High,High,12
ITIncident,7,XGBoost,High,Low,0
ITIncident,7,XGBoost,High,Medium,124
ITIncident,7,XGBoost,Low,High,1
ITIncident,7,XGBoost,Low,Low,21
