dataset,seed,model,threshold,RecallH,PrecH,F1H,MacroF1,Kappa,Brier,ECE,PRAUC_High,FP_High,FN_High
MultiCloud,13,MLP,0.5,0.6268656716417911,0.3559322033898305,0.4540540540540541,0.3559780964765389,0.0616320096088882,0.2193174183120544,0.0180879377362392,0.3962507037270792,76,25
MultiCloud,13,LogReg,0.5,0.5522388059701493,0.3627450980392157,0.4378698224852071,0.3343863595611847,0.0241705449632186,0.2181148279969121,0.0316484678643644,0.4058598872862046,65,30
MultiCloud,13,NaiveBayes,0.5,0.6567164179104478,0.3333333333333333,0.4422110552763819,0.2883478676431965,-0.0055153266048848,0.2189873412392222,0.024738168615755,0.3360565338413219,88,23
MultiCloud,99,KATS,0.5,0.5303030303030303,0.3723404255319149,0.4375,0.3797969966629588,0.0784445942908518,0.2172460761806498,0.0357448163834288,0.4028215168519953,59,31
MultiCloud,99,LightGBM,0.5,0.3939393939393939,0.3466666666666667,0.3687943262411347,0.3332858825423456,0.0028116213683223,0.2701442348871349,0.1797842849720425,0.3713566781732129,49,40
MultiCloud,99,XGBoost,0.5,0.3787878787878788,0.3623188405797101,0.3703703703703703,0.3477783291134945,0.0250853050358094,0.2732360296002763,0.1820032880579432,0.3363923541906264,44,41
MultiCloud,99,RandomForest,0.5,0.3636363636363636,0.32,0.3404255319148936,0.3031110316467012,-0.0421743205248359,0.2351283333333333,0.0900333333333333,0.3208542430540587,51,42
MultiCloud,99,BalancedRF,0.5,0.2878787878787879,0.3064516129032258,0.296875,0.2807437320820036,-0.080189033080789,0.2376,0.0975,0.3201322262538164,43,47
MultiCloud,99,MLP,0.5,0.1212121212121212,0.2051282051282051,0.1523809523809524,0.2621607782898105,-0.0886294530575473,0.2230582151842844,0.008248581700681,0.2993897216093544,31,58
MultiCloud,99,LogReg,0.5,0.5606060606060606,0.3894736842105263,0.4596273291925465,0.3875556568663019,0.0934631953549353,0.2180401031317007,0.0347417048528676,0.4091308760967081,58,29
MultiCloud,99,NaiveBayes,0.5,0.5606060606060606,0.3363636363636363,0.4204545454545454,0.3591086815881848,0.0640209659303632,0.221658504387863,0.0226209599264667,0.3516454641777182,73,29
MultiCloud,2026,KATS,0.5,0.4090909090909091,0.3552631578947368,0.380281690140845,0.3748374864572047,0.0628280101964312,0.2211687460089325,0.0469390648716483,0.3684439420147365,49,39
